Semestre,Clave,Asignatura,Link
8,LFM834,op algebra moderna iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Algebra_Moderna_IV.pdf
8,LFM835,op topologia ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Topologia-II.pdf
8,LFM836,op arquitectura de una computadora,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Arquitectura_de_una_Computadora.pdf
8,LFM837,op investigacion de operaciones ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Investigacion_de_Operaciones_II.pdf
8,LFM838,op estadistica ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Estadistica_II.pdf
8,LFM839,op analisis numerico iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/Analisis_Numerico_III.pdf
8,LFM840,op curso especial,None
8,LFM841,op curso especial,None
8,LFM852,op laboratorio ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_II.pdf
8,LFM859,op laboratorio iii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Laboratorio_III.pdf
8,LFM863,op fisica teorica iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Fisica_Teorica_IV.pdf
8,LFM864,fisica estadistica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Fisica_Estadistica.pdf
8,LFM865,op radiacion y propagacion,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Radiacion_y_Propagacion.pdf
8,LFM866,op introduccion a la fisica atomica y molecular,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Introduccion_a_la_Fisica_Atomica_y_Molecular.pdf
8,LFM867,op introduccion a la fisica nuclear y particulas elementales,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Introduccion_a_Fisica_Nuclear_y_Particulas_Elementales.pdf
8,LFM868,op laboratorio iv,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/5/Laboratorio_IV.pdf
8,LFM869,op teoria del control ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/fisica/8/Teoria_del_Control_II.pdf
8,LFM870,op curso especial,None
8,LFM871,op curso especial,None
8,LFM886,op variable compleja,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/8/Variable_Compleja.pdf
8,LFM887,op filosofia de la ciencia ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/8/Filosofia_de_la_Ciencia_II.pdf
8,LFM888,op temas aplicativos de la matematica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/educativa/8/Temas_Aplicativos_de_la_Matematica.pdf
8,LFM895,ingenieria nuclear ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Ingenieria_Nuclear_II.pdf
8,LFM896,teoria de reactores nucleares ii,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Teoria_de_Reactores_II.pdf
8,LFM897,proteccion radiologica,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/ing-nuclear/8/Proteccion_Radiologica.pdf
8,LFM992,edp,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/EDP.pdf
8,LFM993,mat financieras,https://www.esfm.ipn.mx/assets/files/esfm/docs/planes/LFM/matematicas/8/mat_financieras.pdf
